standardized_fund_name,a_manager_name,a_source,b_manager_name,b_source,final_manager_name,final_source
Lionstone CFO One Non Mandate,,,,,Lionstone Investments,FAMILY Lionstone: WEB_MANAGER: https://realassets.ipe.com/main-navigation/oregon-perf-expands-restructures-lionstone-us-office-strategy/10002644.article | Oregon PERF began investing with Lionstone Investments in 2002 through the Cash Flow Office One (CFO One) program.  [AUTO: identical]
Lionstone Westloop,,,,,Lionstone Investments,FAMILY Lionstone: WEB_MANAGER: https://realassets.ipe.com/main-navigation/oregon-perf-expands-restructures-lionstone-us-office-strategy/10002644.article | Oregon PERF began investing with Lionstone Investments in 2002 through the Cash Flow Office One (CFO One) program.  [AUTO: identical]
"Littlejohn Fund IV, L.P.",,,,,"Littlejohn & Co., LLC","FAMILY Littlejohn: WEB_MANAGER: https://www.prnewswire.com/news-releases/littlejohn--co-completes-fund-v-with-2-billion-of-committed-capital-267150821.html | Littlejohn Fund V, L.P. was completed by Littlejohn & Co., LLC with $2 billion of committed capital.  [AUTO: identical]"
"Littlejohn Fund V, L.P.",,,,,"Littlejohn & Co., LLC","FAMILY Littlejohn: WEB_MANAGER: https://www.prnewswire.com/news-releases/littlejohn--co-completes-fund-v-with-2-billion-of-committed-capital-267150821.html | Littlejohn Fund V, L.P. was completed by Littlejohn & Co., LLC with $2 billion of committed capital.  [AUTO: identical]"
Lone Star Fund I,,,,,"Lone Star Global Acquisitions, Ltd.","FAMILY Lone Star: WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series."
Lone Star Fund II,,,,,"Lone Star Global Acquisitions, Ltd.","FAMILY Lone Star: WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series."
Lone Star Fund III,,,,,"Lone Star Global Acquisitions, Ltd.","FAMILY Lone Star: WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series."
Lone Star Fund IV,,,,,"Lone Star Global Acquisitions, Ltd.","FAMILY Lone Star: WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series."
Lone Star Fund IX,,,,,"Lone Star Global Acquisitions, Ltd.","FAMILY Lone Star: WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series."
Lone Star Fund V,,,,,"Lone Star Global Acquisitions, Ltd.","FAMILY Lone Star: WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series."
Lone Star Fund VI,,,,,"Lone Star Global Acquisitions, Ltd.","FAMILY Lone Star: WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series."
"Lone Star Fund VII (U.S.), L.P.",,,,,"Lone Star Global Acquisitions, Ltd.","FAMILY Lone Star: WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series."
"Lone Star Fund VIII (U.S.), L.P.",,,,,"Lone Star Global Acquisitions, Ltd.","FAMILY Lone Star: WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series."
"Lone Star Fund X (U.S.), L.P.",,,,,"Lone Star Global Acquisitions, Ltd.","FAMILY Lone Star: WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series."
"Lone Star Fund XI (U.S.), L.P.",,,,,"Lone Star Global Acquisitions, Ltd.","FAMILY Lone Star: WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series."
Lone Star Real Estate Fund,,,,,"Lone Star Global Acquisitions, Ltd.","FAMILY Lone Star: WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series."
"Lone Star Real Estate Fund II (U.S.), L.P.",,,,,"Lone Star Global Acquisitions, Ltd.","FAMILY Lone Star: WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series."
Lone Star Real Estate Fund III,,,,,"Lone Star Global Acquisitions, Ltd.","FAMILY Lone Star: WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series."
Lone Star Real Estate Fund IV,,,,,"Lone Star Global Acquisitions, Ltd.","FAMILY Lone Star: WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series."
"Lone Star Real Estate Fund V (U.S.), L.P.",,,,,"Lone Star Global Acquisitions, Ltd.","FAMILY Lone Star: WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series."
"Lone Star Real Estate Fund VI, L.P.",,,,,"Lone Star Global Acquisitions, Ltd.","FAMILY Lone Star: WEB_MANAGER: https://www.bloomberg.com/profile/company/71194Z:US | Lone Star Global Acquisitions, Ltd., doing business as Lone Star Funds, is the private equity firm founded by John Grayken that manages the Lone Star Fund and Lone Star Real Estate Fund series."
"LORE One, L.P. (Core)",,FAMILY LORE One: WEB_MANAGER: no public manager match found,,FAMILY LORE One: WEB_MANAGER: no public manager match found,,FAMILY LORE One: WEB_MANAGER: no public manager match found
"LORE One, L.P. (Value Add)",,FAMILY LORE One: WEB_MANAGER: no public manager match found,,FAMILY LORE One: WEB_MANAGER: no public manager match found,,FAMILY LORE One: WEB_MANAGER: no public manager match found
Lovell Minnick Equity Partners III LP,,,,,Lovell Minnick Partners LLC,WEB_MANAGER: https://hedgefunddb.com/Home/FundDetails/801-74141/LOVELL-MINNICK-PARTNERS-LLC | Lovell Minnick Partners LLC's SEC-derived profile names Lovell Minnick Equity Advisors III LP ('Lovell Minnick III GP') as the General Partner operating as part of the Lovell Minnick Partners advisory business.  [AUTO: identical]
LS Power Equity Partners III,,,,,LS Power Group,FAMILY LS Power: WEB_MANAGER: https://pitchbook.com/profiles/fund/10974-52F | LS Power Equity Partners is a buyout fund managed by LS Power Group.  [AUTO: identical]
LS Power Equity Partners IV,,,,,LS Power Group,FAMILY LS Power: WEB_MANAGER: https://pitchbook.com/profiles/fund/10974-52F | LS Power Equity Partners is a buyout fund managed by LS Power Group.  [AUTO: identical]
Lubert-Adler Real Estate Fund II,"Lubert-Adler Management Company, L.P.","WEB_MANAGER: https://fintrx.com/firms/firm/lubert-adler-management-company-l-p-155201 | Lubert-Adler Management Company, L.P. is SEC-registered and serves as sponsor, general partner and managing member for its funds.",,,"Lubert-Adler Management Company, L.P.","FAMILY Lubert-Adler: WEB_MANAGER: https://fintrx.com/firms/firm/lubert-adler-management-company-l-p-155201 | Lubert-Adler Management Company, L.P. is SEC-registered and serves as sponsor, general partner and managing member for its funds."
Lubert-Adler Real Estate Fund III,"Lubert-Adler Management Company, L.P.","WEB_MANAGER: https://fintrx.com/firms/firm/lubert-adler-management-company-l-p-155201 | Lubert-Adler Management Company, L.P. is SEC-registered and serves as sponsor, general partner and managing member for its funds.",,,"Lubert-Adler Management Company, L.P.","FAMILY Lubert-Adler: WEB_MANAGER: https://fintrx.com/firms/firm/lubert-adler-management-company-l-p-155201 | Lubert-Adler Management Company, L.P. is SEC-registered and serves as sponsor, general partner and managing member for its funds."
Lubert-Adler Real Estate Fund IV,"Lubert-Adler Management Company, L.P.","WEB_MANAGER: https://fintrx.com/firms/firm/lubert-adler-management-company-l-p-155201 | Lubert-Adler Management Company, L.P. is SEC-registered and serves as sponsor, general partner and managing member for its funds.",,,"Lubert-Adler Management Company, L.P.","FAMILY Lubert-Adler: WEB_MANAGER: https://fintrx.com/firms/firm/lubert-adler-management-company-l-p-155201 | Lubert-Adler Management Company, L.P. is SEC-registered and serves as sponsor, general partner and managing member for its funds."
Lubert-Adler Real Estate Fund V,"Lubert-Adler Management Company, L.P.","WEB_MANAGER: https://fintrx.com/firms/firm/lubert-adler-management-company-l-p-155201 | Lubert-Adler Management Company, L.P. is SEC-registered and serves as sponsor, general partner and managing member for its funds.",Lubert-Adler,WEB_MANAGER: https://pitchbook.com/profiles/fund/11471-41F | PitchBook: Lubert-Adler Fund V is a real estate value added fund managed by Lubert-Adler.,"Lubert-Adler Management Company, L.P.","FAMILY Lubert-Adler: WEB_MANAGER: https://fintrx.com/firms/firm/lubert-adler-management-company-l-p-155201 | Lubert-Adler Management Company, L.P. is SEC-registered and serves as sponsor, general partner and managing member for its funds."
Lubert-Adler Real Estate Fund VI,"Lubert-Adler Management Company, L.P.","WEB_MANAGER: https://fintrx.com/firms/firm/lubert-adler-management-company-l-p-155201 | Lubert-Adler Management Company, L.P. is SEC-registered and serves as sponsor, general partner and managing member for its funds.",,,"Lubert-Adler Management Company, L.P.","FAMILY Lubert-Adler: WEB_MANAGER: https://fintrx.com/firms/firm/lubert-adler-management-company-l-p-155201 | Lubert-Adler Management Company, L.P. is SEC-registered and serves as sponsor, general partner and managing member for its funds."
"Lubert-Adler Real Estate Fund VII, L.P.",,,,,"Lubert-Adler Management Company, L.P.","FAMILY Lubert-Adler: WEB_MANAGER: https://fintrx.com/firms/firm/lubert-adler-management-company-l-p-155201 | Lubert-Adler Management Company, L.P. is SEC-registered and serves as sponsor, general partner and managing member for its funds."
Madison Dearborn Capital Partners VII,,,,,"Madison Dearborn Partners, LLC","FAMILY Madison Dearborn: WEB_MANAGER: https://www.mdcp.com/about | Madison Dearborn Partners, LLC is a Chicago-based private equity investment firm that raised Madison Dearborn Capital Partners VIII with $5.0 billion in aggregate capital commitments.  [AUTO: identical]"
"Madison Dearborn Capital Partners VIII-A, L.P.",,,,,"Madison Dearborn Partners, LLC","FAMILY Madison Dearborn: WEB_MANAGER: https://www.mdcp.com/about | Madison Dearborn Partners, LLC is a Chicago-based private equity investment firm that raised Madison Dearborn Capital Partners VIII with $5.0 billion in aggregate capital commitments.  [AUTO: identical]"
Madison Marquette Retail Enhancement Fund LP,,WEB_MANAGER: no public manager match found,,,Madison Marquette,"WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2007/madison.pdf | PSERS board resolution names Madison Marquette Retail Enhancement Fund, LP and describes Madison Marquette's Amer Hammour and Gary Mottola as managing the Fund's investment activities.  [AUTO: identical]"
"Madison Realty Capital Debt Fund III, LP",,,,,Madison Realty Capital,WEB_MANAGER: https://www.madisonrealtycapital.com/about/about | Madison Realty Capital's own site names it as the real estate private credit manager behind its numbered debt fund series.  [AUTO: identical]
"Madrona Venture Fund III, L.P.",,WEB_MANAGER: no public manager match found,Madrona Venture Group,WEB_MANAGER: https://pitchbook.com/profiles/fund/11171-62F | PitchBook: Madrona Venture Fund III is a 2005 vintage venture capital fund managed by Madrona Venture Group.,Madrona Venture Group,WEB_MANAGER: https://pitchbook.com/profiles/fund/11171-62F | PitchBook: Madrona Venture Fund III is a 2005 vintage venture capital fund managed by Madrona Venture Group.
Main Capital IX Feeder (A) C.V.,,,,,Main Capital Partners,WEB_MANAGER: https://main.nl/press-release/main-capital-partners-closes-landmark-e5-25bn-dual-fundraise | Main Capital Partners' own press release announces the close of Main Capital IX as its fund.  [AUTO: identical]
Main Foundation III Feeder (A) C.V.,,,,,Main Capital Partners,WEB_MANAGER: https://main.nl/press-release/main-capital-partners-closes-landmark-e5-25bn-dual-fundraise | Main Capital Partners' own press release announces the close of Main Foundation III alongside Main Capital IX as its funds.  [AUTO: identical]
"Marlin Equity III, L.P.",,,,,"Marlin Management Company, LLC","WEB_MANAGER: https://hedgefunddb.com/Home/FundDetails/801-74170/MARLIN-MANAGEMENT-COMPANY-LLC | Marlin Management Company, LLC's SEC-derived brochure lists Marlin Equity Partners III, L.P. ('Fund III GP') as an affiliated General Partner operating as part of its single advisory business."
Maryland Technology Commercialization Fund,Maryland Technology Development Corporation,WEB_MANAGER: https://www.tedcomd.com/funding/venture-funds | TEDCO's Maryland Venture Fund (MVF) is an early-stage venture capital fund; TEDCO acquired MVF in October 2015. Technology Commercialization Fund (TCF) also supports early-stage companies.,,,Maryland Technology Development Corporation,WEB_MANAGER: https://www.tedcomd.com/funding/venture-funds | TEDCO's Maryland Venture Fund (MVF) is an early-stage venture capital fund; TEDCO acquired MVF in October 2015. Technology Commercialization Fund (TCF) also supports early-stage companies.
Maryland Venture Fund,Maryland Technology Development Corporation,WEB_MANAGER: https://www.tedcomd.com/funding/venture-funds | TEDCO's Maryland Venture Fund (MVF) is an early-stage venture capital fund; TEDCO acquired MVF in October 2015. Technology Commercialization Fund (TCF) also supports early-stage companies.,Maryland Technology Development Corporation,WEB_MANAGER: https://www.tedcomd.com/tedcos-maryland-venture-fund-invests-500k-maryland-technology-start-0 | TEDCO announced its Maryland Venture Fund invested $500K in REXTAR.,Maryland Technology Development Corporation,WEB_MANAGER: https://www.tedcomd.com/funding/venture-funds | TEDCO's Maryland Venture Fund (MVF) is an early-stage venture capital fund; TEDCO acquired MVF in October 2015. Technology Commercialization Fund (TCF) also supports early-stage companies.
"MDCP Insurance SPV, L.P.",,,,,"Madison Dearborn Partners, LLC","WEB_MANAGER: https://www.mdcp.com | Madison Dearborn Partners' own site and its SEC exhibits show MDCP-prefixed vehicles are general-partnered up to Madison Dearborn Partners, LLC.  [AUTO: Madison Dearborn Partners, LLC = Madison Dearborn Partners LLC]"
Media Technology Ventures V,,WEB_MANAGER: no public manager match found,,,Mediatech Administrative V LLC,"WEB_MANAGER: https://hub.waveup.com/funds/media-technology-ventures | Media Technology Ventures V B LP was raised by Mediatech Administrative V LLC, the fund vehicle of Dallas-based Media Technology Ventures."
"Merit Mezzanine Fund VI, L.P.",,,,,Merit Capital Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/15364-09F | PitchBook states Merit Mezzanine Fund VI is managed by Merit Capital Partners.  [AUTO: identical]
"MGPA Asia Fund III, L.P.",MGPA,"WEB_MANAGER: https://www.privateequitywire.co.uk/mgpa-closes-fund-iii-commitments-usd52bn/ | MGPA Fund III consists of MGPA Asia Fund III and MGPA Europe Fund III, both managed by MGPA.",,,MGPA,"FAMILY MGPA: WEB_MANAGER: https://www.privateequitywire.co.uk/mgpa-closes-fund-iii-commitments-usd52bn/ | MGPA Fund III consists of MGPA Asia Fund III and MGPA Europe Fund III, both managed by MGPA."
"MGPA Europe Fund III, L.P.",MGPA,"WEB_MANAGER: https://www.privateequitywire.co.uk/mgpa-closes-fund-iii-commitments-usd52bn/ | MGPA Fund III consists of MGPA Asia Fund III and MGPA Europe Fund III, both managed by MGPA.",,,MGPA,"FAMILY MGPA: WEB_MANAGER: https://www.privateequitywire.co.uk/mgpa-closes-fund-iii-commitments-usd52bn/ | MGPA Fund III consists of MGPA Asia Fund III and MGPA Europe Fund III, both managed by MGPA."
Mid Europa Fund V LP,,,,,Mid Europa V Management Limited,WEB_MANAGER: https://www.eib.org/en/products/equity/funds/mid-europa-v | Mid Europa V Management Limited is the licensed General Partner of Mid Europa Fund V
"Milestone Partners II, L.P.",Milestone Partners,"WEB_MANAGER: https://pitchbook.com/profiles/fund/11415-79F | Milestone Partners II is a 2004 vintage buyout fund managed by Milestone Partners Management, based in Radnor/Villanova, PA.",,,Milestone Partners,"WEB_MANAGER: https://pitchbook.com/profiles/fund/11415-79F | Milestone Partners II is a 2004 vintage buyout fund managed by Milestone Partners Management, based in Radnor/Villanova, PA."
Montagu+ SCSp,,,,,Montagu Private Equity LLP,"WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/2010234/000201023424000001/xslFormDX01/primary_doc.xml | SEC Form D for the related Montagu DISCO I SCSp vehicle shows its director c/o Montagu Private Equity LLP, the London GP behind Montagu-branded SCSp vehicles.  [AUTO: one-sided]"
"Montlake Capital II, L.P.",Montlake Capital,"WEB_MANAGER: https://www.crunchbase.com/person/andy-dale | Andy Dale is the Managing General Partner of Montlake Capital, founded by Andy Dale and Artie Buerk in 1999.",,,Montlake Capital,"WEB_MANAGER: https://www.crunchbase.com/person/andy-dale | Andy Dale is the Managing General Partner of Montlake Capital, founded by Andy Dale and Artie Buerk in 1999."
Morgan Stanley Global REIT,,,,,Morgan Stanley Real Estate Investing,FAMILY Morgan Stanley: WEB_MANAGER: https://www.morganstanley.com/im/en-us/individual-investor/about-us/newsroom/press-release/msim-nhrefx-global-close.html | Morgan Stanley Real Estate Investing (MSREI) is the global private real estate investment management arm of Morgan Stanley.
Morgan Stanley Prime Property Fund,,,,,Morgan Stanley Real Estate Investing,FAMILY Morgan Stanley: WEB_MANAGER: https://www.morganstanley.com/im/en-us/individual-investor/about-us/newsroom/press-release/msim-nhrefx-global-close.html | Morgan Stanley Real Estate Investing (MSREI) is the global private real estate investment management arm of Morgan Stanley.
Morgan Stanley Real Estate Fund II,Morgan Stanley Real Estate Investing,WEB_MANAGER: https://www.morganstanley.com/im/en-us/individual-investor/about-us/newsroom/press-release/msim-nhrefx-global-close.html | Morgan Stanley Real Estate Investing (MSREI) is the global private real estate investment management arm of Morgan Stanley.,,,Morgan Stanley Real Estate Investing,FAMILY Morgan Stanley: WEB_MANAGER: https://www.morganstanley.com/im/en-us/individual-investor/about-us/newsroom/press-release/msim-nhrefx-global-close.html | Morgan Stanley Real Estate Investing (MSREI) is the global private real estate investment management arm of Morgan Stanley.
Morgan Stanley Real Estate Fund IV Spec Dom,Morgan Stanley Real Estate Investing,WEB_MANAGER: https://www.morganstanley.com/im/en-us/individual-investor/about-us/newsroom/press-release/msim-nhrefx-global-close.html | Morgan Stanley Real Estate Investing (MSREI) is the global private real estate investment management arm of Morgan Stanley.,,,Morgan Stanley Real Estate Investing,FAMILY Morgan Stanley: WEB_MANAGER: https://www.morganstanley.com/im/en-us/individual-investor/about-us/newsroom/press-release/msim-nhrefx-global-close.html | Morgan Stanley Real Estate Investing (MSREI) is the global private real estate investment management arm of Morgan Stanley.
Morgan Stanley Real Estate Fund IV Spec Intl,Morgan Stanley Real Estate Investing,WEB_MANAGER: https://www.morganstanley.com/im/en-us/individual-investor/about-us/newsroom/press-release/msim-nhrefx-global-close.html | Morgan Stanley Real Estate Investing (MSREI) is the global private real estate investment management arm of Morgan Stanley.,,,Morgan Stanley Real Estate Investing,FAMILY Morgan Stanley: WEB_MANAGER: https://www.morganstanley.com/im/en-us/individual-investor/about-us/newsroom/press-release/msim-nhrefx-global-close.html | Morgan Stanley Real Estate Investing (MSREI) is the global private real estate investment management arm of Morgan Stanley.
Morgan Stanley Real Estate Fund V Spec Intl,Morgan Stanley Real Estate Investing,WEB_MANAGER: https://www.morganstanley.com/im/en-us/individual-investor/about-us/newsroom/press-release/msim-nhrefx-global-close.html | Morgan Stanley Real Estate Investing (MSREI) is the global private real estate investment management arm of Morgan Stanley.,,,Morgan Stanley Real Estate Investing,FAMILY Morgan Stanley: WEB_MANAGER: https://www.morganstanley.com/im/en-us/individual-investor/about-us/newsroom/press-release/msim-nhrefx-global-close.html | Morgan Stanley Real Estate Investing (MSREI) is the global private real estate investment management arm of Morgan Stanley.
Morgan Stanley Real Estate Fund V U.S.,Morgan Stanley Real Estate Investing,WEB_MANAGER: https://www.morganstanley.com/im/en-us/individual-investor/about-us/newsroom/press-release/msim-nhrefx-global-close.html | Morgan Stanley Real Estate Investing (MSREI) is the global private real estate investment management arm of Morgan Stanley.,,,Morgan Stanley Real Estate Investing,FAMILY Morgan Stanley: WEB_MANAGER: https://www.morganstanley.com/im/en-us/individual-investor/about-us/newsroom/press-release/msim-nhrefx-global-close.html | Morgan Stanley Real Estate Investing (MSREI) is the global private real estate investment management arm of Morgan Stanley.
Morgan Stanley Real Estate Fund VI Spec Intl,Morgan Stanley Real Estate Investing,WEB_MANAGER: https://www.morganstanley.com/im/en-us/individual-investor/about-us/newsroom/press-release/msim-nhrefx-global-close.html | Morgan Stanley Real Estate Investing (MSREI) is the global private real estate investment management arm of Morgan Stanley.,,,Morgan Stanley Real Estate Investing,FAMILY Morgan Stanley: WEB_MANAGER: https://www.morganstanley.com/im/en-us/individual-investor/about-us/newsroom/press-release/msim-nhrefx-global-close.html | Morgan Stanley Real Estate Investing (MSREI) is the global private real estate investment management arm of Morgan Stanley.
"Morgan Stanley Real Estate Fund VII Global, L.P.",Morgan Stanley Real Estate Investing,WEB_MANAGER: https://www.morganstanley.com/im/en-us/individual-investor/about-us/newsroom/press-release/msim-nhrefx-global-close.html | Morgan Stanley Real Estate Investing (MSREI) is the global private real estate investment management arm of Morgan Stanley.,Morgan Stanley Real Estate Investing,WEB_MANAGER: https://pitchbook.com/profiles/fund/11584-99F | PitchBook: Morgan Stanley Real Estate Fund VII Global is a 2009 vintage fund managed by Morgan Stanley Real Estate Investing.,Morgan Stanley Real Estate Investing,FAMILY Morgan Stanley: WEB_MANAGER: https://www.morganstanley.com/im/en-us/individual-investor/about-us/newsroom/press-release/msim-nhrefx-global-close.html | Morgan Stanley Real Estate Investing (MSREI) is the global private real estate investment management arm of Morgan Stanley.
"MPE Partners II, L.P.",,,,,MPE Partners,"WEB_MANAGER: https://www.mpepartners.com/morgenthaler-private-equity-closes-mpe-partners-ii-250m-hard-cap | MPE Partners' own site announces MPE Partners II, L.P. as its fund, formed by the Morgenthaler Private Equity team.  [AUTO: identical]"
"National Office Partners, LLC (CWP)",,,,,"CommonWealth Partners, LLC","WEB_MANAGER: https://www.commonwealth-partners.com/about-cwp | CommonWealth Partners' (CWP) own site describes it as the Los Angeles real estate investment, development and management firm matching the '(CWP)' identifier in the fund name.  [AUTO: CommonWealth Partners, LLC = CommonWealth Partners LLC]"
NB Credit Opportunities II Cayman Feeder LP,,,,,Neuberger Berman,WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/1850962/000184018221000003/xslFormDX08/primary_doc.xml | SEC Form D for NB Credit Opportunities II Cayman Feeder LP is filed from Neuberger Berman's New York address; Neuberger Berman's own press release names it manager of the NB Credit Opportunities Fund II family.  [AUTO: identical]
"NB SPV, L.P.",,,,,Neuberger Berman,"WEB_MANAGER: https://www.nb.com | Every 'NB'-prefixed pooled vehicle found in SEC filings (NB Credit Opportunities, NB Crossroads, NB Private Markets Access Fund) is a Neuberger Berman vehicle; Neuberger Berman's own site confirms it sponsors the NB-branded fund family.  [AUTO: one-sided]"
"NCT Ventures Fund I, L.P.",NCT Ventures,"WEB_MANAGER: https://nctventures.com/ | NCT Ventures is a Midwest-focused investment firm based in Columbus, Ohio, founded and managed by Rich Langdale.",NCT Ventures,WEB_MANAGER: https://pitchbook.com/profiles/fund/13076-83F | PitchBook: NCT Ventures Fund I is a venture capital fund managed by NCT Ventures.,NCT Ventures,FAMILY NCT Ventures: WEB_MANAGER: https://pitchbook.com/profiles/fund/13076-83F | PitchBook: NCT Ventures Fund I is a venture capital fund managed by NCT Ventures.
"NCT Ventures Fund II, L.P.",NCT Ventures,"WEB_MANAGER: https://nctventures.com/ | NCT Ventures is a Midwest-focused investment firm based in Columbus, Ohio, founded and managed by Rich Langdale.",NCT Ventures,WEB_MANAGER: https://pitchbook.com/profiles/fund/13856-05F | PitchBook: NCT Ventures Fund II is a 2013 vintage venture capital fund managed by NCT Ventures.,NCT Ventures,FAMILY NCT Ventures: WEB_MANAGER: https://pitchbook.com/profiles/fund/13076-83F | PitchBook: NCT Ventures Fund I is a venture capital fund managed by NCT Ventures.
NCV SELECT I LP,,,,,Next Coast Ventures,"WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/1894413/000189441321000001/xslFormDX01/primary_doc.xml | SEC Form D for NCV Select I, L.P. lists its GP chain at 1204 Nueces Street, Austin, the same address and 'NCV' family used by Next Coast Ventures' NCV Entrepreneurs Fund II, signed by Next Coast managing director C. Thomas Ball.  [AUTO: identical]"
"Neptune Regional Transmission System, LLC",,,,,"PowerBridge, LLC","WEB_MANAGER: https://neptunerts.com/team-2 | Neptune's own site states PowerBridge, LLC of Fairfield, CT, through its subsidiary Neptune Power Ventures, LLC, is the sole managing member of Neptune Regional Transmission System, LLC.  [AUTO: identical]"
"New Capital Partners Private Equity Fund II, L.P.",,,,,New Capital Partners,"WEB_MANAGER: https://newcapitalpartners.com/about | New Capital Partners' own site names it as the Birmingham, Alabama private equity firm behind its numbered fund series.  [AUTO: identical]"
"New Enterprise Associates 12, Limited Partnership",,,,,New Enterprise Associates,"FAMILY New Enterprise Associates: WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/1452907/000107261321000190/nea-sch13g_18464.htm | NEA Partners 13, L.P. is the sole general partner of New Enterprise Associates 13, L.P.; both are New Enterprise Associates entities."
New Enterprise Associates 13,New Enterprise Associates,"WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/1452907/000107261321000190/nea-sch13g_18464.htm | NEA Partners 13, L.P. is the sole general partner of New Enterprise Associates 13, L.P.; both are New Enterprise Associates entities.",,"NEA Partners 13, L.P.",New Enterprise Associates,"FAMILY New Enterprise Associates: WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/1452907/000107261321000190/nea-sch13g_18464.htm | NEA Partners 13, L.P. is the sole general partner of New Enterprise Associates 13, L.P.; both are New Enterprise Associates entities."
NEW HORIZONS EL PASO LP,,,,,"PCCP New Horizons GP, LLC","WEB_MANAGER: https://www.bizprofile.net/ca/los-angeles/new-horizons-el-paso | California Secretary of State filings list PCCP New Horizons GP, LLC as general partner of New Horizons El Paso, LP.  [AUTO: one-sided]"
"New Mountain Partners III, L.P.",,,,,"New Mountain Capital, LLC","FAMILY New Mountain: WEB_MANAGER: https://www.newmountaincapital.com/new-mountain-closes-4-13-billion-private-equity-fund/ | New Mountain Capital announced the final closing of New Mountain Partners IV, L.P. at $4.13 billion."
