lookup_key,lookup_kind,member_count,member_funds,a_manager_name,a_source,b_manager_name,b_source,final_manager_name,final_source
"Aurora Equity Partners V, L.P.",fund,1,"Aurora Equity Partners V, L.P.",Aurora Capital Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/15360-85F | Aurora Equity Partners V is a buyout fund managed by Aurora Capital Partners.,Aurora Capital Partners,"WEB_MANAGER: https://www.privateequityinternational.com/institution-profiles/aurora-capital-partners.html | Aurora Equity Partners V is listed among Aurora Capital Partners' closed funds, with a close date of May 2017.",Aurora Capital Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/15360-85F | Aurora Equity Partners V is a buyout fund managed by Aurora Capital Partners.  [AUTO: identical]
Avenue Real Estate Fund (Parallel) L.P.,fund,1,Avenue Real Estate Fund (Parallel) L.P.,Avenue Capital Group,"WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/1523566/000110465911037155/a11-15781_2s11.htm | Avenue Capital Group runs the Avenue Real Estate Strategy, including the 2007 Avenue Real Estate Fund vehicles.",,WEB_MANAGER: no public manager match found,Avenue Capital Group,"WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/1523566/000110465911037155/a11-15781_2s11.htm | Avenue Capital Group runs the Avenue Real Estate Strategy, including the 2007 Avenue Real Estate Fund vehicles.  [AUTO: one-sided]"
"Avista Healthcare Partners (Offshore) I, L.P.",fund,1,"Avista Healthcare Partners (Offshore) I, L.P.","Avista Capital Holdings, L.P.","WEB_MANAGER: https://radientanalytics.com/firm/adv/avista-capital-partners-160750 | Avista Capital Holdings, L.P. is the registered adviser for the Avista Healthcare Partners fund general partners.",Avista Healthcare Partners,"WEB_MANAGER: https://radientanalytics.com/firm/adv/avista-capital-partners-160750 | The Avista Healthcare Partners (Offshore) funds are advised by Avista Healthcare Partners, operating as a single advisory business with Avista Capital Holdings.","Avista Capital Holdings, L.P.","WEB_MANAGER: https://radientanalytics.com/firm/adv/avista-capital-partners-160750 | Avista Capital Holdings, L.P. is the registered adviser for the Avista Healthcare Partners fund general partners."
BCP V-S L.P.,fund,1,BCP V-S L.P.,Blackstone Management Associates V L.L.C.,"WEB_MANAGER: https://aum13f.com/fund/blackstone-capital-partners-v-lp | Blackstone Management Associates V LLC is listed as director/manager of Blackstone Capital Partners V LP, of which BCP V-S L.P. is an alternative investment vehicle.",Blackstone Management Partners LLC,WEB_MANAGER: https://aum13f.com/fund/bcp-v-s-lp | Public filings of BCP V-S LP raised by Blackstone Management Partners LLC.,Blackstone Management Associates V L.L.C.,"WEB_MANAGER: https://aum13f.com/fund/blackstone-capital-partners-v-lp | Blackstone Management Associates V LLC is listed as director/manager of Blackstone Capital Partners V LP, of which BCP V-S L.P. is an alternative investment vehicle."
BIF IV Co-Investment,fund,1,BIF IV Co-Investment,Brookfield,WEB_MANAGER: https://bn.brookfield.com/press-releases/brookfield-closes-us20-billion-global-infrastructure-fund | Brookfield Asset Management closed Brookfield Infrastructure Fund IV (BIF IV) with $20 billion of commitments.,Brookfield Asset Management Inc.,"WEB_MANAGER: https://bn.brookfield.com/press-releases/brookfield-closes-us20-billion-global-infrastructure-fund | Brookfield Asset Management Inc. announced the closing of its latest flagship global infrastructure fund, Brookfield Infrastructure Fund IV (BIF IV), with total equity commitments of $20 billion.",Brookfield Asset Management Inc.,"WEB_MANAGER: https://bn.brookfield.com/press-releases/brookfield-closes-us20-billion-global-infrastructure-fund | Brookfield Asset Management Inc. announced the closing of its latest flagship global infrastructure fund, Brookfield Infrastructure Fund IV (BIF IV), with total equity commitments of $20 billion.  [AUTO: Brookfield = Brookfield Asset Management Inc.]"
"BP ACE EV, L.P.",fund,1,"BP ACE EV, L.P.",Berkshire Partners LLC,"WEB_MANAGER: https://www.formds.com/issuers/bp-ace-ev-l-p | SEC Form D filing lists Berkshire Partners LLC as the manager entity for BP Ace EV, L.P.",,WEB_MANAGER: no public manager match found,Berkshire Partners LLC,"WEB_MANAGER: https://www.formds.com/issuers/bp-ace-ev-l-p | SEC Form D filing lists Berkshire Partners LLC as the manager entity for BP Ace EV, L.P.  [AUTO: one-sided]"
"BSV Opportunities B, FCRE",fund,1,"BSV Opportunities B, FCRE","Big Sur Ventures, SGEIC, S.A.","WEB_MANAGER: https://www.cnmv.es/portal/consultas/ecr/fondo?nif=V67766659&lang=en | CNMV registry lists Big Sur Ventures, SGEIC, S.A. as the management company of the BSV Opportunities FCRE fund family.",,WEB_MANAGER: no public manager match found,"Big Sur Ventures, SGEIC, S.A.","WEB_MANAGER: https://www.cnmv.es/portal/consultas/ecr/fondo?nif=V67766659&lang=en | CNMV registry lists Big Sur Ventures, SGEIC, S.A. as the management company of the BSV Opportunities FCRE fund family.  [AUTO: one-sided]"
Barley (No.1) Limited Partnership,fund,1,Barley (No.1) Limited Partnership,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
Bear Stearns High Grade Structured Credit Strategies Fund,fund,1,Bear Stearns High Grade Structured Credit Strategies Fund,Bear Stearns Asset Management,WEB_MANAGER: https://www.sec.gov/news/press/2008/2008-115.htm | SEC press release describes Ralph Cioffi as senior portfolio manager for the Bear Stearns High-Grade Structured Credit Strategies Fund within Bear Stearns Asset Management.,,WEB_MANAGER: no public manager match found,Bear Stearns Asset Management,WEB_MANAGER: https://www.sec.gov/news/press/2008/2008-115.htm | SEC press release describes Ralph Cioffi as senior portfolio manager for the Bear Stearns High-Grade Structured Credit Strategies Fund within Bear Stearns Asset Management.  [AUTO: one-sided]
"Bell Institutional Fund IV, LLC",fund,1,"Bell Institutional Fund IV, LLC",,,,,Bell Partners,"WEB_MANAGER: https://bellpartnersinc.com/2023/bell-partners-closes-1-billion-value-add-fund/ | Bell Partners is a privately held apartment investment and management company; since creating its fund platform in 2006, it has closed nine funds."
BioScience Facilities Fund,fund,1,BioScience Facilities Fund,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
"Blue Road Capital, L.P.",fund,1,"Blue Road Capital, L.P.","Blue Road Management, L.P.","WEB_MANAGER: https://www.blueroad.com/about | Blue Road Management, L.P. is the independent investment firm behind Blue Road Capital L.P.",Blue Road Capital,WEB_MANAGER: https://globalaginvesting.com/blue-road-capital-closes-ag-fund | Blue Road Capital's Blue Road Capital L.P. held its final close at $433 million.,"Blue Road Management, L.P.","WEB_MANAGER: https://www.blueroad.com/about | Blue Road Management, L.P. is the independent investment firm behind Blue Road Capital L.P."
Bolt Energy LLC,fund,1,Bolt Energy LLC,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
"Bowmark Capital Partners V, L.P.",fund,1,"Bowmark Capital Partners V, L.P.",Bowmark Capital,WEB_MANAGER: https://www.bowmark.com/news/bowmark-capital-raises-new-375-million-fund | Bowmark Capital raised Bowmark Capital Partners V at GBP375 million.,Bowmark Capital,WEB_MANAGER: https://www.bowmark.com/news/bowmark-wins-realised-fund-of-the-year | Bowmark Capital Partners V invested in a portfolio of exceptional technology and services companies during Bowmark's period of investment.,Bowmark Capital,WEB_MANAGER: https://www.bowmark.com/news/bowmark-capital-raises-new-375-million-fund | Bowmark Capital raised Bowmark Capital Partners V at GBP375 million.  [AUTO: identical]
Brazil Real Estate Opportunities II,fund,1,Brazil Real Estate Opportunities II,GTIS Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/13379-68F | Brazil Real Estate Opportunities Fund II is a real estate opportunistic fund managed by GTIS Partners.,,WEB_MANAGER: no public manager match found,GTIS Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/13379-68F | Brazil Real Estate Opportunities Fund II is a real estate opportunistic fund managed by GTIS Partners.  [AUTO: one-sided]
"Brentwood Associates Private Equity V, L.P.",fund,1,"Brentwood Associates Private Equity V, L.P.",Brentwood Associates,"WEB_MANAGER: https://hedgefunddb.com/Home/FundDetails/801-73137/BRENTWOOD-PRIVATE-EQUITY--LLC | Brentwood V is the general partner of Brentwood Associates Private Equity V, L.P.; the advisers conduct business as Brentwood Associates.",Brentwood Associates,"WEB_MANAGER: https://www.brentwood.com/news/brentwood-associates-raises-1-15-billion-for-sixth-private-equity-fund | Fund VI is the successor to its predecessor, Brentwood Associates Fund V, L.P. and parallel funds, which closed at its hard cap in November 2014.",Brentwood Associates,"WEB_MANAGER: https://hedgefunddb.com/Home/FundDetails/801-73137/BRENTWOOD-PRIVATE-EQUITY--LLC | Brentwood V is the general partner of Brentwood Associates Private Equity V, L.P.; the advisers conduct business as Brentwood Associates.  [AUTO: identical]"
Buchanan Fund V,fund,1,Buchanan Fund V,Buchanan Street Partners,"WEB_MANAGER: https://www.pei-privaterealestate.com/equity/clairvue-makes-first-secondary-investment-since-downturn | Clairvue purchased a commitment to Buchanan Street Partners' fifth fund, the $400 million Buchanan Fund V.",Buchanan Street Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/12889-18F | Buchanan Fund V is a real estate value-added fund managed by Buchanan Street Partners.,Buchanan Street Partners,"WEB_MANAGER: https://www.pei-privaterealestate.com/equity/clairvue-makes-first-secondary-investment-since-downturn | Clairvue purchased a commitment to Buchanan Street Partners' fifth fund, the $400 million Buchanan Fund V.  [AUTO: identical]"
Builder Fund,fund,1,Builder Fund,,,,,Maryland Technology Development Corporation,WEB_MANAGER: https://www.tedcomd.com/news-events/press-releases/2022/tedcos-pre-seed-builder-fund-invests-nanobiofab | TEDCO's Pre-Seed Builder Fund invests in and provides executive support to Maryland-based technology companies.
Builders VC Fund II,fund,1,Builders VC Fund II,,,,,Builders VC,WEB_MANAGER: https://pitchbook.com/profiles/fund/18120-61F | PitchBook: Builders VC Fund II is a 2021 vintage early-stage venture capital fund managed by Builders VC.
"CB Offshore CF I, Limited Partnership",fund,1,"CB Offshore CF I, Limited Partnership",Charlesbank Capital Partners LLC,WEB_MANAGER: https://aum13f.com/fund/cb-offshore-credit-opportunities-fund-limited-partnership | CB Offshore Credit Opportunities Fund Limited Partnership was raised by Charlesbank Capital Partners LLC.,,WEB_MANAGER: no public manager match found,Charlesbank Capital Partners LLC,WEB_MANAGER: https://aum13f.com/fund/cb-offshore-credit-opportunities-fund-limited-partnership | CB Offshore Credit Opportunities Fund Limited Partnership was raised by Charlesbank Capital Partners LLC.  [AUTO: one-sided]
CCF II Industrial,fund,1,CCF II Industrial,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
CCF III Industrial,fund,1,CCF III Industrial,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
"CCF III, LLC",fund,1,"CCF III, LLC",Canyon Partners Real Estate,"WEB_MANAGER: https://www.canyonpartners.com/canyon-catalyst-fund-grows-emerging-manager-program-announces-new-investments-in-arizona-market | The Canyon Catalyst Fund (CCF), a CalPERS real estate emerging-manager program, is managed by Canyon Partners Real Estate.",,WEB_MANAGER: no public manager match found,Canyon Partners Real Estate,"WEB_MANAGER: https://www.canyonpartners.com/canyon-catalyst-fund-grows-emerging-manager-program-announces-new-investments-in-arizona-market | The Canyon Catalyst Fund (CCF), a CalPERS real estate emerging-manager program, is managed by Canyon Partners Real Estate.  [AUTO: one-sided]"
CCP 2020,fund,1,CCP 2020,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
CCP Climb LP,fund,1,CCP Climb LP,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
CCP Strider LP,fund,1,CCP Strider LP,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
"CD&R Value Building Partners I, L.P.",fund,1,"CD&R Value Building Partners I, L.P.","Clayton, Dubilier & Rice","WEB_MANAGER: https://www.prnewswire.com/news-releases/clayton-dubilier--rice-fund-x-sells-belron-stake-in-transaction-that-values-belron-at-21-billion-301447559.html | CD&R Value Building Partners I, L.P. is a special purpose vehicle formed to continue Clayton, Dubilier & Rice's partnership with Belron.",,WEB_MANAGER: no public manager match found,"Clayton, Dubilier & Rice","WEB_MANAGER: https://www.prnewswire.com/news-releases/clayton-dubilier--rice-fund-x-sells-belron-stake-in-transaction-that-values-belron-at-21-billion-301447559.html | CD&R Value Building Partners I, L.P. is a special purpose vehicle formed to continue Clayton, Dubilier & Rice's partnership with Belron.  [AUTO: one-sided]"
"CDRF8 Private Investors, LLC",fund,1,"CDRF8 Private Investors, LLC","Clayton, Dubilier & Rice","WEB_MANAGER: https://en.wikipedia.org/wiki/Clayton,_Dubilier_%26_Rice | CDRF8 Private Investors, LLC is a co-investment vehicle in Clayton, Dubilier & Rice's numbered fund series (CD&R Fund VIII).",,WEB_MANAGER: no public manager match found,"Clayton, Dubilier & Rice","WEB_MANAGER: https://en.wikipedia.org/wiki/Clayton,_Dubilier_%26_Rice | CDRF8 Private Investors, LLC is a co-investment vehicle in Clayton, Dubilier & Rice's numbered fund series (CD&R Fund VIII).  [AUTO: one-sided]"
"CHP III, L.P.",fund,1,"CHP III, L.P.",,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
"CI Capital Investors III, L.P.",fund,1,"CI Capital Investors III, L.P.",CI Capital Partners LLC,"WEB_MANAGER: https://www.monumentgroup.com/press-release/ci-capital-partners-closes-fund-iii-capital-commitments-750-million | CI Capital Partners LLC announced the closing of its third fund, CI Capital Investors III, L.P.",,WEB_MANAGER: no public manager match found,CI Capital Partners LLC,"WEB_MANAGER: https://www.monumentgroup.com/press-release/ci-capital-partners-closes-fund-iii-capital-commitments-750-million | CI Capital Partners LLC announced the closing of its third fund, CI Capital Investors III, L.P.  [AUTO: one-sided]"
"CP VII Investors, L.P.",fund,1,"CP VII Investors, L.P.",,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
"CS Strategic Partners IV RE, L.P.",fund,1,"CS Strategic Partners IV RE, L.P.",,,,,"Credit Suisse First Boston Private Equity, Inc.","WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/773660/000095010306001095/dp02418_13d.htm | Credit Suisse First Boston Private Equity, Inc. serves as the managing general partner of CSFB Strategic Associates, L.P., the general partner of Strategic Partners III and Strategic Partners Parallel III."
"Cabot Industrial Value Fund III, L.P.",fund,1,"Cabot Industrial Value Fund III, L.P.",,,,,Cabot Properties,WEB_MANAGER: https://www.cabotprop.com/about/history/ | Cabot Industrial Value Fund III was a 2008 vintage real estate value added fund co-managed by Liberty Property Trust and Cabot Properties.
CalWest CalPERS GIP,fund,1,CalWest CalPERS GIP,,WEB_MANAGER: no public manager match found,RREEF,"WEB_MANAGER: https://www.nreionline.com/mag/rreef-calpers-team-industrial-acquisition | CalWest Industrial Properties LLC, a joint venture formed in 1998 between CalPERS and RREEF, was managed by RREEF as CalPERS' industrial real estate investment advisor.",RREEF,"WEB_MANAGER: https://www.nreionline.com/mag/rreef-calpers-team-industrial-acquisition | CalWest Industrial Properties LLC, a joint venture formed in 1998 between CalPERS and RREEF, was managed by RREEF as CalPERS' industrial real estate investment advisor.  [AUTO: one-sided]"
"Camden Partners Strategic Fund VI, L.P.",fund,1,"Camden Partners Strategic Fund VI, L.P.",Camden Partners,WEB_MANAGER: https://www.camdenpartners.com/news/camden-partners-closes-fund-vi-with-100-million-in-commitments-from-investors | Camden Partners' own release announced it closed Fund VI with $100 million in commitments from investors.,"Camden Partners Holdings, LLC",WEB_MANAGER: https://www.camdenpartners.com/news/camden-partners-closes-fund-vi-with-100-million-in-commitments-from-investors | Camden Partners announced the final closing of Camden Partners Strategic Fund VI with $100 million in commitments from limited partners.,"Camden Partners Holdings, LLC","WEB_MANAGER: https://www.camdenpartners.com/news/camden-partners-closes-fund-vi-with-100-million-in-commitments-from-investors | Camden Partners announced the final closing of Camden Partners Strategic Fund VI with $100 million in commitments from limited partners.  [AUTO: Camden Partners = Camden Partners Holdings, LLC]"
Cameron Village,fund,1,Cameron Village,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
"Canyon Catalyst Fund II, LLC",fund,1,"Canyon Catalyst Fund II, LLC",Canyon Partners Real Estate,WEB_MANAGER: https://www.calpers.ca.gov/page/newsroom/calpers-news/2017/relationship-with-canyon-partners-real-estate | CalPERS' own release states it expanded its relationship and allocated $350 million to the Canyon Catalyst Fund managed by Canyon Partners Real Estate.,Canyon Partners Real Estate LLC,WEB_MANAGER: https://www.calpers.ca.gov/page/newsroom/calpers-news/2017/relationship-with-canyon-partners-real-estate | The Canyon Catalyst Fund is a discretionary separate account managed by Canyon Partners Real Estate LLC on behalf of CalPERS.,Canyon Partners Real Estate LLC,WEB_MANAGER: https://www.calpers.ca.gov/page/newsroom/calpers-news/2017/relationship-with-canyon-partners-real-estate | The Canyon Catalyst Fund is a discretionary separate account managed by Canyon Partners Real Estate LLC on behalf of CalPERS.  [AUTO: Canyon Partners Real Estate = Canyon Partners Real Estate LLC]
Canyon Johnson Urban Fund III,fund,1,Canyon Johnson Urban Fund III,Canyon Partners Real Estate LLC,"WEB_MANAGER: https://www.multihousingnews.com/canyon-johnson-closes-new-1-billion-canyon-johnson-urban-fund-iii/ | Canyon-Johnson Urban Fund III, a joint venture of Canyon Capital Realty Advisors (now Canyon Partners Real Estate LLC) and Earvin Magic Johnson, closed at $1 billion.",Canyon Capital Realty Advisors,"WEB_MANAGER: https://www.multihousingnews.com/canyon-johnson-closes-new-1-billion-canyon-johnson-urban-fund-iii/ | Canyon-Johnson Urban Fund III is a partnership of Canyon Capital Realty Advisors and Earvin ""Magic"" Johnson with $1 billion of commitments.",Canyon Partners Real Estate LLC,"WEB_MANAGER: https://www.multihousingnews.com/canyon-johnson-closes-new-1-billion-canyon-johnson-urban-fund-iii/ | Canyon-Johnson Urban Fund III, a joint venture of Canyon Capital Realty Advisors (now Canyon Partners Real Estate LLC) and Earvin Magic Johnson, closed at $1 billion."
Capiton VI GmbH & Co. Beteiligungs KG,fund,1,Capiton VI GmbH & Co. Beteiligungs KG,Capiton AG,"WEB_MANAGER: https://capiton.de/en/ | Capiton AG's own site names it the Berlin-based manager of the capiton fund family, including capiton VI.",capiton AG,WEB_MANAGER: https://firmeneintrag.creditreform.de/10707/2012937628/CAPITON_VI_BETEILIGUNGS_GMBH_CO_GESCHLOSSENE_INVESTMENT_KG | The capiton VI Beteiligungs GmbH & Co. geschlossene Investment-KG fund is managed by capiton AG in Berlin.,Capiton AG,"WEB_MANAGER: https://capiton.de/en/ | Capiton AG's own site names it the Berlin-based manager of the capiton fund family, including capiton VI.  [AUTO: Capiton AG = capiton AG]"
"Centerbridge Seaport Acquisition Fund, L.P.",fund,1,"Centerbridge Seaport Acquisition Fund, L.P.","Centerbridge Partners, L.P.","WEB_MANAGER: https://www.ftc.gov/legal-library/browse/cases-proceedings/centerbridge-seaport-acquisition-fundbrightspring-health-services-inc | FTC's case record identifies Sevita as a subsidiary of Centerbridge Seaport Acquisition Fund, L.P., a Centerbridge Partners vehicle.","Centerbridge Partners, L.P.","WEB_MANAGER: https://aum13f.com/fund/centerbridge-seaport-acquisition-fund-lp | AUM 13F lists Centerbridge Partners LP as the firm associated with Centerbridge Seaport Acquisition Fund LP, the vehicle used to acquire BrightSpring Health Services.","Centerbridge Partners, L.P.","WEB_MANAGER: https://www.ftc.gov/legal-library/browse/cases-proceedings/centerbridge-seaport-acquisition-fundbrightspring-health-services-inc | FTC's case record identifies Sevita as a subsidiary of Centerbridge Seaport Acquisition Fund, L.P., a Centerbridge Partners vehicle.  [AUTO: identical]"
"Cerberus Institutional Partners, L.P. - Series Four",fund,1,"Cerberus Institutional Partners, L.P. - Series Four","Cerberus Capital Management, L.P.","WEB_MANAGER: https://www.swfinstitute.org/transaction/5d80233cebb8613a6766135c | SWFInstitute's transaction record identifies Cerberus Capital Management, L.P. as manager of Cerberus Institutional Partners (Series Four).","Cerberus Capital Management, L.P.",WEB_MANAGER: https://aum13f.com/fund/cerberus-institutional-partners-lp-series-four | Public filings show Cerberus Institutional Partners LP Series Four was raised by Cerberus Capital Management LP.,"Cerberus Capital Management, L.P.","WEB_MANAGER: https://www.swfinstitute.org/transaction/5d80233cebb8613a6766135c | SWFInstitute's transaction record identifies Cerberus Capital Management, L.P. as manager of Cerberus Institutional Partners (Series Four).  [AUTO: identical]"
"Charlesbank Equity Fund VIII, Limited Partnership",fund,1,"Charlesbank Equity Fund VIII, Limited Partnership",Charlesbank Capital Partners,WEB_MANAGER: https://www.globenewswire.com/news-release/2014/07/09/1109272/0/en/charlesbank-capital-partners-closes-fund-viii-at-1-75-billion.html | Charlesbank Capital Partners' own release announced it closed Fund VIII at $1.75 billion.,Charlesbank Capital Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/14616-10F | Charlesbank Equity Fund VIII is a buyout fund managed by Charlesbank Capital Partners.,Charlesbank Capital Partners,WEB_MANAGER: https://www.globenewswire.com/news-release/2014/07/09/1109272/0/en/charlesbank-capital-partners-closes-fund-viii-at-1-75-billion.html | Charlesbank Capital Partners' own release announced it closed Fund VIII at $1.75 billion.  [AUTO: identical]
"Charter Life Sciences (Ohio) II, L.P.",fund,1,"Charter Life Sciences (Ohio) II, L.P.",,,,,Charter Life Sciences,WEB_MANAGER: https://www.ohiocapitalfund.com/investments | Charter Life Sciences II: a clinical stage life sciences venture capital fund with offices in Cincinnati and Palo Alto.
Charterhouse Capital Partners IX,fund,1,Charterhouse Capital Partners IX,Charterhouse Capital Partners LLP,"WEB_MANAGER: https://www.charterhouse.co.uk/ | Charterhouse Capital Partners LLP's own site names it the London manager of the Charterhouse Capital Partners fund series, including Fund IX.",Charterhouse Capital Partners,WEB_MANAGER: https://www.charterhouse.co.uk/about | Charterhouse's fund history lists Charterhouse Capital Partners IX raised in 2009 among the firm's own private equity funds.,Charterhouse Capital Partners LLP,"WEB_MANAGER: https://www.charterhouse.co.uk/ | Charterhouse Capital Partners LLP's own site names it the London manager of the Charterhouse Capital Partners fund series, including Fund IX.  [AUTO: Charterhouse Capital Partners LLP = Charterhouse Capital Partners]"
"Chrysalis Ventures (Ohio) III, L.P.",fund,1,"Chrysalis Ventures (Ohio) III, L.P.",,,,,Chrysalis Ventures,WEB_MANAGER: https://www.ohiocapitalfund.com/investments | The Ohio Capital Fund portfolio includes underlying funds managed by the following venture capital firms. Lists Chrysalis Ventures Ohio III.
Clean Tech Fund,fund,1,Clean Tech Fund,,,,,Connecticut Innovations,"WEB_MANAGER: https://ctinnovations.com/program/climate-tech-fund/ | The ClimateTech Fund is managed by Connecticut Innovations, CI's $100 million fund to help Connecticut reach decarbonization goals."
Cliffwood,fund,1,Cliffwood,Cliffwood Partners LLC,WEB_MANAGER: https://hedgefunddb.com/Home/FundDetails/801-71949/DW-PARTNERS--LP (Cliffwood Partners LLC SEC filings) | SEC filings state Cliffwood Partners LLC serves as investment manager and general partner of the Cliffwood-branded investment funds.,,WEB_MANAGER: no public manager match found,Cliffwood Partners LLC,WEB_MANAGER: https://hedgefunddb.com/Home/FundDetails/801-71949/DW-PARTNERS--LP (Cliffwood Partners LLC SEC filings) | SEC filings state Cliffwood Partners LLC serves as investment manager and general partner of the Cliffwood-branded investment funds.  [AUTO: one-sided]
Clift,fund,1,Clift,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
Cohen & Steers,fund,1,Cohen & Steers,"Cohen & Steers Capital Management, Inc.","WEB_MANAGER: https://adviserinfo.sec.gov/firm/summary/106266 | SEC IAPD lists Cohen & Steers Capital Management, Inc. as the registered investment adviser managing Cohen & Steers funds for institutional clients.",,WEB_MANAGER: no public manager match found,"Cohen & Steers Capital Management, Inc.","WEB_MANAGER: https://adviserinfo.sec.gov/firm/summary/106266 | SEC IAPD lists Cohen & Steers Capital Management, Inc. as the registered investment adviser managing Cohen & Steers funds for institutional clients.  [AUTO: one-sided]"
"Coller International Partners VI, L.P.",fund,1,"Coller International Partners VI, L.P.",Coller Capital,"WEB_MANAGER: https://www.collercapital.com/coller-capital-closes-sixth-fund-ahead-target-commitments-55-billion/ | Coller Capital's own release announced the close of its sixth fund, Coller International Partners VI, at $5.5 billion.",Coller Capital,"WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2011/tab13_res04.pdf | PSERS' board resolution for Coller International Partners VI, L.P. states that since its inception in 1990 Coller Capital has invested $6.4 billion in 131 secondary transactions.",Coller Capital,"WEB_MANAGER: https://www.collercapital.com/coller-capital-closes-sixth-fund-ahead-target-commitments-55-billion/ | Coller Capital's own release announced the close of its sixth fund, Coller International Partners VI, at $5.5 billion.  [AUTO: identical]"
Commonwealth Fund III,fund,1,Commonwealth Fund III,,,,,MassVentures,WEB_MANAGER: https://pitchbook.com/profiles/fund/13672-99F | PitchBook: Commonwealth Fund III is an early stage venture capital fund managed by MassVentures.
"Comvest Capital III International (Cayman), L.P.",fund,1,"Comvest Capital III International (Cayman), L.P.",Comvest Partners,"WEB_MANAGER: https://pitchbook.com/profiles/fund/14502-25F | Comvest Capital III is a direct lending fund managed by Comvest Partners (SEC-registered as Comvest Advisors LLC, CRD 160753).",Comvest Partners,"WEB_MANAGER: https://www.prnewswire.com/news-releases/manulife-to-acquire-comvest-credit-partners-creating-a-leading-private-credit-platform-302523650.html | Comvest Credit Partners, the direct lending business that includes the ComVest Capital fund series, is a fully owned subsidiary of private credit and private equity investment manager Comvest Partners.",Comvest Partners,"WEB_MANAGER: https://pitchbook.com/profiles/fund/14502-25F | Comvest Capital III is a direct lending fund managed by Comvest Partners (SEC-registered as Comvest Advisors LLC, CRD 160753).  [AUTO: identical]"
"Concession Investment Holdings, LLC",fund,1,"Concession Investment Holdings, LLC",,WEB_MANAGER: no public manager match found,IFM Investors Pty Ltd,"WEB_MANAGER: https://aum13f.com/fund/concession-investment-holdings-llc | AUM 13F lists IFM Investors Pty Ltd as the firm behind Concession Investment Holdings, LLC, the CalPERS co-investment vehicle for its stake in the IFM-owned Indiana Toll Road Concession Company.",IFM Investors Pty Ltd,"WEB_MANAGER: https://aum13f.com/fund/concession-investment-holdings-llc | AUM 13F lists IFM Investors Pty Ltd as the firm behind Concession Investment Holdings, LLC, the CalPERS co-investment vehicle for its stake in the IFM-owned Indiana Toll Road Concession Company.  [AUTO: one-sided]"
Connecticut Bioscience Innovation Fund,fund,1,Connecticut Bioscience Innovation Fund,,,,,Connecticut Innovations,"WEB_MANAGER: https://www.advancect.org/site-selection-and-certified-sites/incentives-and-programs/p/item/2135/bioscience-innovation-fund | Connecticut Innovations manages the Connecticut Bioscience Innovation Fund, a $200 million evergreen fund focused on bioscience investment."
Connecticut Capital Access Fund,fund,1,Connecticut Capital Access Fund,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
Connecticut Works Fund,fund,1,Connecticut Works Fund,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
Connecticut Works Guarantee Fund,fund,1,Connecticut Works Guarantee Fund,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
